"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","boot_mean","ci_low","ci_up","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total"
"1","(Intercept)",567230.901350466,89055251.5120232,0.307966641585742,567230.901350466,0.278160927361103,89055251.5120232,0.307966641585742,567230.901350466,0.278160927361103,TRUE,0.6551,0.934440967425525,0.778213352309075,0.956491394447721,0.05855897306203,0.571844195972516,0.270363949724853,0.571844195972516,0.407973182639514,0.777276690894594,56278.5773,56278.5773,65481090.2533626,1e-04,"3_130_15",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","trend",0.0452895731405379,12672318.2795182,0.0438228092716346,80715.4030542562,0.0395815378048756,12672318.2795182,0.0438228092716346,80715.4030542562,0.0395815378048756,TRUE,0.6551,0.934440967425525,0.778213352309075,0.956491394447721,0.05855897306203,0.571844195972516,0.270363949724853,0.571844195972516,0.407973182639514,0.777276690894594,56278.5773,56278.5773,65481090.2533626,1e-04,"3_130_15",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","season",0.294200758036999,107703.56641429,0.00037245535858082,686.009977161081,0.000336408279188929,107703.56641429,0.00037245535858082,686.009977161081,0.000336408279188929,TRUE,0.6551,0.934440967425525,0.778213352309075,0.956491394447721,0.05855897306203,0.571844195972516,0.270363949724853,0.571844195972516,0.407973182639514,0.777276690894594,56278.5773,56278.5773,65481090.2533626,1e-04,"3_130_15",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","holiday",0.8432307481131,5868476.13159307,0.0202940854670295,234739.045263723,0.115112259157535,5868476.13159307,0.0202940854670295,234739.045263723,0.115112259157535,TRUE,0.6551,0.934440967425525,0.778213352309075,0.956491394447721,0.05855897306203,0.571844195972516,0.270363949724853,0.571844195972516,0.407973182639514,0.777276690894594,56278.5773,56278.5773,65481090.2533626,1e-04,"3_130_15",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.163672637701435,142597646.232328,0.49312440830368,908265.262626293,0.445398702962955,142597646.232328,0.49312440830368,908265.262626293,0.445398702962955,TRUE,0.6551,0.934440967425525,0.778213352309075,0.956491394447721,0.05855897306203,0.571844195972516,0.270363949724853,0.571844195972516,0.407973182639514,0.777276690894594,56278.5773,56278.5773,65481090.2533626,1e-04,"3_130_15",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","events",0,0,0,0,0,0,0,0,0,TRUE,0.6551,0.934440967425525,0.778213352309075,0.956491394447721,0.05855897306203,0.571844195972516,0.270363949724853,0.571844195972516,0.407973182639514,0.777276690894594,56278.5773,56278.5773,65481090.2533626,1e-04,"3_130_15",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","tv_S",296358.215046724,10563191.7869031,0.0365291281963247,67281.4763497011,0.0329937558251852,10563191.7869031,0.0365291281963247,67281.4763497011,0.0329937558251852,TRUE,0.6551,0.934440967425525,0.778213352309075,0.956491394447721,0.05855897306203,0.571844195972516,0.270363949724853,0.571844195972516,0.407973182639514,0.777276690894594,56278.5773,56278.5773,65481090.2533626,1e-04,"3_130_15",1,1,1,1.2355,0.9767,1.4947,1,7774236.44,49517.4295541401,104954.26603182,55436.8364776794,19116.8048074804,0.206047362680601,0.271754477715314,0.386062139727568,1.35874331433417,0.735974182504099
"8","ooh_S",313207.498549445,11420613.699779,0.0394942239368581,72742.7624189747,0.0356718828348327,11420613.699779,0.0394942239368581,72742.7624189747,0.0356718828348327,TRUE,0.6551,0.934440967425525,0.778213352309075,0.956491394447721,0.05855897306203,0.571844195972516,0.270363949724853,0.571844195972516,0.407973182639514,0.777276690894594,56278.5773,56278.5773,65481090.2533626,1e-04,"3_130_15",1,1,1,0.3599,0.1916,0.5252,1,24719081.6,157446.379617834,163136.751415334,5690.37179749928,70906.1061864746,0.655151359349006,0.293812985107385,0.45035082012418,0.462016100945232,2.16442673308163
"9","print_S",179426.391172625,4174360.70138891,0.0144355759390639,26588.2847222223,0.0130384679636924,4174360.70138891,0.0144355759390639,26588.2847222223,0.0130384679636924,TRUE,0.6551,0.934440967425525,0.778213352309075,0.956491394447721,0.05855897306203,0.571844195972516,0.270363949724853,0.571844195972516,0.407973182639514,0.777276690894594,56278.5773,56278.5773,65481090.2533626,1e-04,"3_130_15",1,1,1,2.6114,1.666,3.5663,1,1804904.93333333,11496.2097664544,18182.0100727067,6685.80030625236,27312.7787981689,0.0478369682055284,0.107391897741342,2.37580727500875,2.31278701957982,0.432378767060738
"10","facebook_S",133636.163978121,5288063.46038428,0.0182869299309874,33681.9328686897,0.0165170791290873,5288063.46038428,0.0182869299309874,33681.9328686897,0.0165170791290873,TRUE,0.6551,0.934440967425525,0.778213352309075,0.956491394447721,0.05855897306203,0.571844195972516,0.270363949724853,0.571844195972516,0.407973182639514,0.777276690894594,56278.5773,56278.5773,65481090.2533626,1e-04,"3_130_15",1,1,1,5.5948,3.8485,7.3506,1,1002234.0659765,6383.65647118789,6814.85115081117,431.194679623282,30437.1744697946,0.0265630827769259,0.136043627039312,4.76798440003315,5.27627591188691,0.18952761695936
"11","search_S",462537.755448,7424120.80799209,0.0256737420100989,47287.3936814783,0.0231889786815451,7424120.80799209,0.0256737420100989,47287.3936814783,0.0231889786815451,TRUE,0.6551,0.934440967425525,0.778213352309075,0.956491394447721,0.05855897306203,0.571844195972516,0.270363949724853,0.571844195972516,0.407973182639514,0.777276690894594,56278.5773,56278.5773,65481090.2533626,1e-04,"3_130_15",1,1,1,3.221,2.455,3.9887,1,2429880,15476.9426751592,27573.850592699,12096.9079175398,68087.1785077023,0.0644012269879381,0.190997012396647,4.39926540640248,3.05534462936116,0.327295320596646
"12","newsletter",0,0,0,0,0,0,0,0,0,TRUE,0.6551,0.934440967425525,0.778213352309075,0.956491394447721,0.05855897306203,0.571844195972516,0.270363949724853,0.571844195972516,0.407973182639514,0.777276690894594,56278.5773,56278.5773,65481090.2533626,1e-04,"3_130_15",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
